code,codename,count,category,method,death_rate_2023,birth_rate_2023
999999,BIZ_NO미존재사업장,4949,BIZ_NO_MISSING,manual,0.0,0.0
452102,유리 및 창호 공사업,1133,건설업,prefix,7.6,9.5
701201,비주거용 건물 임대업(점포 자기땅),1007,부동산업,prefix,8.9,10.9
722000,응용 소프트웨어 개발 및 공급업,884,전문과학기술서비스업,prefix,9.7,14.9
452104,배관 및 냉ㆍ난방 공사업,690,건설업,prefix,7.6,9.5
452101,미장 타일 및 방수 공사업,618,건설업,prefix,7.6,9.5
452200,그 외 기타 건축 마무리 공사업,559,건설업,prefix,7.6,9.5
515070,전기용 기계ㆍ장비 및 관련 기자재 도매업,465,도매 및 소매업,prefix,13.0,14.5
451200,기타 토목 시설물 건설업,453,건설업,prefix,7.6,9.5
321000,기타 반도체 소자 제조업,450,제조업,prefix,6.8,6.6
743002,광고 대행업,435,전문과학기술서비스업,keyword(conflict),9.7,14.9
343000,그 외 자동차용 신품 부품 제조업,419,제조업,prefix,6.8,6.6
742104,기타 엔지니어링 서비스업,409,전문과학기술서비스업,keyword(conflict),9.7,14.9
452111,시설물 유지관리 공사업,383,건설업,prefix,7.6,9.5
702003,비주거용 부동산 관리업,370,부동산업,prefix,8.9,10.9
451101,아파트 건설업,362,건설업,prefix,7.6,9.5
741400,경영 컨설팅업,351,전문과학기술서비스업,keyword(conflict),9.7,14.9
291902,산업용 냉장 및 냉동장비 제조업,347,제조업,prefix,6.8,6.6
749609,그 외 기타 분류 안된 사업 지원 서비스업,311,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
452106,도배  실내 장식 및 내장 목공사업,311,건설업,prefix,7.6,9.5
519111,상품 종합 도매업,302,도매 및 소매업,prefix,13.0,14.5
281100,금속 문  창  셔터 및 관련제품 제조업,259,제조업,prefix,6.8,6.6
525101,전자상거래 소매업,224,도매 및 소매업,prefix,13.0,14.5
900100,지정 외 폐기물 수집 운반업,222,"예술, 스포츠 및 여가관련 서비스업",prefix,13.5,16.2
452109,수중 공사업,212,건설업,prefix,7.6,9.5
749300,건축물 일반 청소업,211,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
519112,상품 종합 도매업,210,도매 및 소매업,prefix,13.0,14.5
741201,세무사업,198,전문과학기술서비스업,keyword(conflict),9.7,14.9
703011,주거용 건물 개발 및 공급업,196,부동산업,prefix,8.9,10.9
513320,화장품 및 화장용품 도매업,194,도매 및 소매업,prefix,13.0,14.5
292903,주형 및 금형 제조업,193,제조업,prefix,6.8,6.6
514393,그 외 기타 건축자재 도매업,191,도매 및 소매업,prefix,13.0,14.5
513221,가전제품 및 부품 도매업,189,도매 및 소매업,prefix,13.0,14.5
742103,건축 설계 및 관련 서비스업,185,전문과학기술서비스업,keyword(conflict),9.7,14.9
519113,상품 종합 도매업,185,도매 및 소매업,prefix,13.0,14.5
749939,그 외 기타 분류 안된 전문 과학 및 기술 서비스업,180,전문과학기술서비스업,keyword(conflict),9.7,14.9
513311,의약품 도매업,163,도매 및 소매업,prefix,13.0,14.5
515010,그 외 기타 기계 및 장비 도매업,160,도매 및 소매업,prefix,13.0,14.5
289901,금속선 가공제품 제조업,154,제조업,prefix,6.8,6.6
312000,배전반 및 전기 자동제어반 제조업,153,제조업,prefix,6.8,6.6
351103,선박 구성 부분품 제조업,152,"전기, 가스, 증기 및 공기조절 공급업",prefix,2.8,15.0
515050,컴퓨터 및 주변장치  소프트웨어 도매업,151,도매 및 소매업,prefix,13.0,14.5
702001,부동산 중개 및 대리업,142,부동산업,prefix,8.9,10.9
552101,한식 일반 음식점업,141,숙박 및 음식점업,prefix,14.7,17.2
453000,건설장비 운영업,139,건설업,prefix,7.6,9.5
172902,그 외 기타 분류 안된 섬유제품 제조업,136,제조업,prefix,6.8,6.6
730000,기타 인문 및 사회과학 연구개발업,136,전문과학기술서비스업,prefix,9.7,14.9
252901,포장용 플라스틱 성형용기 제조업,136,제조업,prefix,6.8,6.6
289202,도장 및 기타 피막 처리업,134,제조업,prefix,6.8,6.6
514361,철물 금속 파스너 및 수공구 도매업,130,도매 및 소매업,prefix,13.0,14.5
331300,산업 처리공정 제어장비 제조업,130,제조업,prefix,6.8,6.6
630902,통관 대리 및 관련서비스업 / 화물 운송 중개  대리,128,운수 및 창고업,prefix,8.8,9.5
741101,변호사업,125,전문과학기술서비스업,keyword(conflict),9.7,14.9
369503,간판 및 광고물 제조업,124,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
292901,산업용 로봇 제조업,120,제조업,prefix,6.8,6.6
514990,그 외 기타 상품 전문 도매업,119,도매 및 소매업,prefix,13.0,14.5
331201,물질 검사 측정 및 분석 기구 제조업,117,제조업,prefix,6.8,6.6
515060,통신ㆍ방송장비 및 부품 도매업,115,도매 및 소매업,prefix,13.0,14.5
749910,시각 디자인업,112,전문과학기술서비스업,keyword(conflict),9.7,14.9
515080,의료 기기 도매업,112,도매 및 소매업,prefix,13.0,14.5
513121,남녀용 겉옷 및 셔츠 도매업,108,도매 및 소매업,prefix,13.0,14.5
154501,천연 및 혼합 조제 조미료 제조업,106,제조업,prefix,6.8,6.6
210903,위생용 종이제품 제조업,105,제조업,prefix,6.8,6.6
551001,호텔업,104,숙박 및 음식점업,prefix,14.7,17.2
721000,컴퓨터 시스템 통합 자문 및 구축 서비스업,104,전문과학기술서비스업,prefix,9.7,14.9
171200,직물  편조 원단 및 의복류 염색 가공업,103,제조업,prefix,6.8,6.6
722004,시스템 소프트웨어 개발 및 공급업,103,전문과학기술서비스업,prefix,9.7,14.9
300100,컴퓨터 제조업,102,제조업,prefix,6.8,6.6
292202,금속 절삭기계 제조업,98,제조업,prefix,6.8,6.6
241302,합성수지 및 기타 플라스틱 물질 제조업,98,제조업,prefix,6.8,6.6
809005,일반 교과학원,97,교육서비스업,prefix,12.9,16.9
724000,데이터베이스 및 온라인 정보 제공업,97,전문과학기술서비스업,prefix,9.7,14.9
451104,기타 비주거용 건물 건설업,95,건설업,prefix,7.6,9.5
512287,기타 가공식품 도매업,92,도매 및 소매업,prefix,13.0,14.5
514919,기타 화학 물질 및 화학제품 도매업,92,도매 및 소매업,prefix,13.0,14.5
452107,도배  실내 장식 및 내장 목공사업,90,건설업,prefix,7.6,9.5
523131,화장품  비누 및 방향제 소매업,89,도매 및 소매업,prefix,13.0,14.5
452116,소방시설 공사업,89,건설업,prefix,7.6,9.5
742105,건축 설계 및 관련 서비스업(건축사),89,전문과학기술서비스업,keyword(conflict),9.7,14.9
221200,잡지 및 정기 간행물 발행업,88,제조업,prefix,6.8,6.6
515090,기타 산업용 기계 및 장비 도매업,88,도매 및 소매업,prefix,13.0,14.5
602201,택시 운송업,88,운수 및 창고업,prefix,8.8,9.5
512221,기타 산업용 농산물 도매업,85,도매 및 소매업,prefix,13.0,14.5
201009,표면 가공목재 및 특정 목적용 제재목 제조업,79,제조업,prefix,6.8,6.6
292902,인쇄 및 제책용 기계 제조업,79,제조업,prefix,6.8,6.6
512223,육류 도매업,79,도매 및 소매업,prefix,13.0,14.5
512252,주류 도매업,76,도매 및 소매업,prefix,13.0,14.5
749921,그 외 기타 분류 안된 사업 지원 서비스업,76,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
519910,상품 종합 도매업,76,도매 및 소매업,prefix,13.0,14.5
749907,전시  컨벤션 및 행사 대행업,76,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
512211,과실류 도매업,74,도매 및 소매업,prefix,13.0,14.5
505001,운송장비용 주유소 운영업,73,도매 및 소매업,prefix,13.0,14.5
452103,보링  그라우팅 및 관정 공사업,73,건설업,prefix,7.6,9.5
511119,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,71,도매 및 소매업,prefix,13.0,14.5
671900,그 외 기타 금융 지원 서비스업,69,금융 및 보험업,prefix,9.7,11.9
521100,슈퍼마켓,67,도매 및 소매업,prefix,13.0,14.5
361001,금속 가구 제조업,67,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
452108,포장 공사업,66,건설업,prefix,7.6,9.5
514312,원목 및 건축관련 목제품 도매업,66,도매 및 소매업,prefix,13.0,14.5
930919,애완 동물 장묘 및 보호 서비스업,65,"협회 및 단체, 수리 및 기타 개인서비스업",keyword(conflict),10.0,13.5
552104,서양식 음식점업,64,숙박 및 음식점업,prefix,14.7,17.2
511111,산업용 농ㆍ축산물  섬유 원료 및 동물 중개업,64,도매 및 소매업,prefix,13.0,14.5
672000,보험 대리 및 중개업,64,금융 및 보험업,prefix,9.7,11.9
749100,고용 알선업,63,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
452119,콘크리트 및 철근 공사업,62,건설업,prefix,7.6,9.5
602204,시내버스 운송업 / 시외버스 운송업,62,운수 및 창고업,prefix,8.8,9.5
271902,그 외 기타 1차 철강 제조업,62,제조업,prefix,6.8,6.6
292100,농업 및 임업용 기계 제조업,61,제조업,prefix,6.8,6.6
503003,자동차 중고 부품 및 내장품 판매업,60,도매 및 소매업,prefix,13.0,14.5
291200,유압 기기 제조업,60,제조업,prefix,6.8,6.6
452125,일반 전기 공사업,60,건설업,prefix,7.6,9.5
522020,육류 소매업,59,도매 및 소매업,prefix,13.0,14.5
252401,기타 건축용 플라스틱 조립제품 제조업,56,제조업,prefix,6.8,6.6
630600,여행사업,56,운수 및 창고업,prefix,8.8,9.5
602302,일반 화물 자동차 운송업,55,운수 및 창고업,prefix,8.8,9.5
451102,주거용 건물 건설업,55,건설업,prefix,7.6,9.5
451400,조경 건설업,54,건설업,prefix,7.6,9.5
323001,비디오 및 기타 영상 기기 제조업,52,제조업,prefix,6.8,6.6
630304,자동차 임대업(렌트카),52,운수 및 창고업,prefix,8.8,9.5
242403,화장품 제조업,52,제조업,prefix,6.8,6.6
930915,기타 교육지원 서비스업,51,교육서비스업,keyword(conflict),12.9,16.9
332001,사진기 영사기 및 관련 장비 제조업,51,제조업,prefix,6.8,6.6
659201,국내은행,51,금융 및 보험업,prefix,9.7,11.9
322002,유선 통신장비 제조업,51,제조업,prefix,6.8,6.6
514920,염료  안료 및 관련제품 도매업,51,도매 및 소매업,prefix,13.0,14.5
289302,일반 철물 제조업,51,제조업,prefix,6.8,6.6
851907,그 외 기타 보건업,51,교육서비스업,prefix,12.9,16.9
513421,서적 잡지 및 기타 인쇄물 도매업,50,도매 및 소매업,prefix,13.0,14.5
241102,기타 기초 무기화학 물질 제조업,50,제조업,prefix,6.8,6.6
741203,세무사업(기장대리) / 기타 회계 관련 서비스업,50,전문과학기술서비스업,keyword(conflict),9.7,14.9
252400,플라스틱 창호 제조업,50,제조업,prefix,6.8,6.6
742209,기타,50,"사업시설관리, 사업지원 및 임대 서비스업",prefix(conflict-fallback),12.2,16.0
922201,자동차 종합 수리업,50,"협회 및 단체, 수리 및 기타 개인서비스업",keyword(conflict),10.0,13.5
741202,공인회계사업,49,전문과학기술서비스업,keyword(conflict),9.7,14.9
293009,제조 / 기타가정용기기,49,제조업,prefix,6.8,6.6
252909,그 외 기타 플라스틱 제품 제조업,49,제조업,prefix,6.8,6.6
729000,기타 정보 기술 및 컴퓨터 운영 관련 서비스업,49,전문과학기술서비스업,prefix,9.7,14.9
300101,기타 주변 기기 제조업,48,제조업,prefix,6.8,6.6
172103,천막 텐트 및 유사 제품 제조업,48,제조업,prefix,6.8,6.6
513313,의료용품 도매업,48,도매 및 소매업,prefix,13.0,14.5
269501,레미콘 제조업,47,제조업,prefix,6.8,6.6
602205,전세버스 운송업,47,운수 및 창고업,prefix,8.8,9.5
242402,치약  비누 및 기타 세제 제조업,46,제조업,prefix,6.8,6.6
514370,그 외 기타 건축자재 도매업,46,도매 및 소매업,prefix,13.0,14.5
749500,포장 및 충전업,45,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
630201,일반 창고업,45,운수 및 창고업,prefix,8.8,9.5
749200,경비 및 경호 서비스업,44,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
272100,기타 비철금속 제련 정련 및 합금 제조업,44,제조업,prefix,6.8,6.6
749101,임시 및 일용 인력 공급업,44,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
921502,일반 영화 및 비디오물 제작업,43,정보통신업,keyword(conflict),11.0,17.5
181206,여자용 겉옷 제조업,42,제조업,prefix,6.8,6.6
154902,두부 및 유사 식품 제조업,42,제조업,prefix,6.8,6.6
269503,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,41,제조업,prefix,6.8,6.6
512271,육류 가공식품 도매업,41,도매 및 소매업,prefix,13.0,14.5
514330,골재 벽돌 및 시멘트 도매업,41,도매 및 소매업,prefix,13.0,14.5
289101,분말 야금제품 제조업,39,제조업,prefix,6.8,6.6
924303,골프장 운영업,39,"예술, 스포츠 및 여가관련 서비스업",keyword(conflict),13.5,16.2
659202,신용조합,39,금융 및 보험업,prefix,9.7,11.9
523312,가구 소매업,39,도매 및 소매업,prefix,13.0,14.5
313001,기타 절연선 및 케이블 제조업,39,제조업,prefix,6.8,6.6
514971,재생용 재료 수집 및 판매업,39,도매 및 소매업,prefix,13.0,14.5
372000,비금속류 원료 재생업,38,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
221100,일반 서적 출판업,38,제조업,prefix,6.8,6.6
749935,사업시설 유지ㆍ관리 서비스업,38,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
659900,기타 금융 투자업,38,금융 및 보험업,prefix,9.7,11.9
514239,1차 금속제품 도매업,38,도매 및 소매업,prefix,13.0,14.5
452105,도배  실내 장식 및 내장 목공사업,38,건설업,prefix,7.6,9.5
514121,액체 연료 및 관련제품 도매업,38,도매 및 소매업,prefix,13.0,14.5
512232,신선  냉동 및 기타 수산물 도매업,38,도매 및 소매업,prefix,13.0,14.5
153300,배합 사료 제조업,38,제조업,prefix,6.8,6.6
602103,시내버스 운송업,38,운수 및 창고업,prefix,8.8,9.5
321001,그 외 기타 전자 부품 제조업,37,제조업,prefix,6.8,6.6
924308,골프 연습장 운영업,37,"예술, 스포츠 및 여가관련 서비스업",keyword(conflict),13.5,16.2
512280,기타 가공식품 도매업,37,도매 및 소매업,prefix,13.0,14.5
452110,토공사업,37,건설업,prefix,7.6,9.5
271103,합금철 제조업,37,제조업,prefix,6.8,6.6
242309,의료용품 및 기타 의약 관련제품 제조업,37,제조업,prefix,6.8,6.6
513230,생활용 유리ㆍ요업ㆍ목재ㆍ금속제품 및 날붙이 도매업,37,도매 및 소매업,prefix,13.0,14.5
514950,플라스틱 물질 및 합성고무 도매업,37,도매 및 소매업,prefix,13.0,14.5
513290,생활용 가구 도매업,37,도매 및 소매업,prefix,13.0,14.5
851101,요양병원,37,교육서비스업,prefix,12.9,16.9
293001,주방용 전기 기기 제조업,37,제조업,prefix,6.8,6.6
512212,채소류  서류 및 향신작물류 도매업,36,도매 및 소매업,prefix,13.0,14.5
452131,기타 옥외 시설물 축조관련 전문공사업,36,건설업,prefix,7.6,9.5
451300,산업 생산시설 종합 건설업,36,건설업,prefix,7.6,9.5
315001,일반용 전기 조명장치 제조업,36,제조업,prefix,6.8,6.6
252301,설치용 및 위생용 플라스틱제품 제조업,36,제조업,prefix,6.8,6.6
513410,생활용 포장 및 위생용품  봉투 및 유사 제품 도매업,36,도매 및 소매업,prefix,13.0,14.5
552109,기관 구내식당업,36,숙박 및 음식점업,prefix,14.7,17.2
602305,일반 화물 자동차 운송업,36,운수 및 창고업,prefix,8.8,9.5
713001,그 외 기타 개인 및 가정용품 임대업,35,전문과학기술서비스업,prefix,9.7,14.9
341001,화물 자동차 및 특수 목적용 자동차 제조업,35,제조업,prefix,6.8,6.6
252103,플라스틱 합성피혁 제조업,35,제조업,prefix,6.8,6.6
291300,기어 및 동력전달장치 제조업,35,제조업,prefix,6.8,6.6
749604,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,35,제조업,keyword(conflict),6.8,6.6
319001,운송장비용 조명장치 제조업,35,제조업,prefix,6.8,6.6
552303,커피 전문점,34,숙박 및 음식점업,prefix,14.7,17.2
361002,기타 목재 가구 제조업,33,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
210200,골판지 제조업,33,제조업,prefix,6.8,6.6
311001,전자코일 변성기 및 기타 전자 유도자 제조업,32,제조업,prefix,6.8,6.6
151102,가금류 가공 및 저장 처리업,31,제조업,prefix,6.8,6.6
523951,예술품 및 골동품 소매업,31,도매 및 소매업,prefix,13.0,14.5
552301,제과점업,30,숙박 및 음식점업,prefix,14.7,17.2
153301,단미사료 및 기타 사료 제조업,29,제조업,prefix,6.8,6.6
749934,무형 재산권 임대업,29,부동산업,keyword(conflict),8.9,10.9
242204,일반용 도료 및 관련제품 제조업,29,제조업,prefix,6.8,6.6
291502,기타 물품 취급장비 제조업,28,제조업,prefix,6.8,6.6
181201,가죽의복 제조업,28,제조업,prefix,6.8,6.6
749911,매니저업,27,"사업시설관리, 사업지원 및 임대 서비스업",prefix(conflict-fallback),12.2,16.0
171109,화학섬유직물 직조업,27,제조업,prefix,6.8,6.6
172109,기타 직물제품 제조업,27,제조업,prefix,6.8,6.6
513992,그 외 기타 생활용품 도매업,26,도매 및 소매업,prefix,13.0,14.5
222102,스크린 인쇄업,26,제조업,prefix,6.8,6.6
242901,접착제 및 젤라틴 제조업,26,제조업,prefix,6.8,6.6
513330,비누 및 세정제 도매업,26,도매 및 소매업,prefix,13.0,14.5
703021,비주거용 건물 개발 및 공급업,26,부동산업,prefix,8.9,10.9
503001,자동차 신품 타이어 및 튜브 판매업,26,도매 및 소매업,prefix,13.0,14.5
452126,내부 전기배선 공사업,26,건설업,prefix,7.6,9.5
523231,셔츠 및 블라우스 소매업,26,도매 및 소매업,prefix,13.0,14.5
630901,택배업,26,운수 및 창고업,prefix,8.8,9.5
523932,운동 및 경기용품 소매업,26,도매 및 소매업,prefix,13.0,14.5
311002,전동기 및 발전기 제조업,26,제조업,prefix,6.8,6.6
369905,단추 및 유사 파스너 제조업,26,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
950000,그 외 기타 달리 분류되지 않은 개인 서비스업,26,"협회 및 단체, 수리 및 기타 개인서비스업",prefix,10.0,13.5
602301,용달 화물 자동차 운송업,26,운수 및 창고업,prefix,8.8,9.5
924101,그 외 기타 스포츠 서비스업,26,"예술, 스포츠 및 여가관련 서비스업",keyword(conflict),13.5,16.2
242906,화약 및 불꽃제품 제조업,26,제조업,prefix,6.8,6.6
512281,기타 신선 식품 및 단순 가공 식품 도매업,26,도매 및 소매업,prefix,13.0,14.5
930925,그 외 기타 달리 분류되지 않은 개인 서비스업,26,"협회 및 단체, 수리 및 기타 개인서비스업",keyword(conflict),10.0,13.5
11000,곡물 및 기타 식량작물 재배업,26,제조업,prefix,6.8,6.6
151200,수산동물 건조 및 염장품 제조업,26,제조업,prefix,6.8,6.6
742106,건물 및 토목 엔지니어링 서비스업(기술사),26,전문과학기술서비스업,keyword(conflict),9.7,14.9
749400,인물 사진 및 행사용 영상 촬영업,26,정보통신업,keyword(conflict),11.0,17.5
523323,통신기기 소매업,26,도매 및 소매업,prefix,13.0,14.5
742101,측량업,26,전문과학기술서비스업,keyword(conflict),9.7,14.9
512289,수산물 가공식품 도매업,26,도매 및 소매업,prefix,13.0,14.5
521911,기타 대형 종합 소매업,26,도매 및 소매업,prefix,13.0,14.5
730005,전기ㆍ전자공학 연구개발업,26,전문과학기술서비스업,prefix,9.7,14.9
314000,축전지 제조업,26,제조업,prefix,6.8,6.6
281106,기타 구조용 금속제품 제조업,25,제조업,prefix,6.8,6.6
621000,항공 여객 운송업,25,운수 및 창고업,prefix,8.8,9.5
749901,문서 작성업,25,"사업시설관리, 사업지원 및 임대 서비스업",keyword(conflict),12.2,16.0
241106,석탄화학계 화합물 및 기타 기초 유기화학 물질제조업,25,제조업,prefix,6.8,6.6
602309,화물 운송 중개  대리 및 관련 서비스업,25,운수 및 창고업,prefix,8.8,9.5
514220,1차 금속제품 도매업,25,도매 및 소매업,prefix,13.0,14.5
659203,그 외 기타 여신 금융업,25,금융 및 보험업,prefix,9.7,11.9
513430,문구용품  회화용품  사무용품 도매업,25,도매 및 소매업,prefix,13.0,14.5
369301,체조  육상 및 체력 단련용 장비 제조업,25,"수도, 하수 및 폐기물처리, 원료재생업",prefix,5.2,6.3
251901,산업용 그 외 비경화 고무제품 제조업,25,제조업,prefix,6.8,6.6
452127,일반 통신 공사업,25,건설업,prefix,7.6,9.5
222101,경 인쇄업,25,제조업,prefix,6.8,6.6
300201,사무용 기계 및 장비 제조업,25,제조업,prefix,6.8,6.6
241200,복합비료 및 기타 화학비료 제조업,25,제조업,prefix,6.8,6.6
269200,정형 내화 요업제품 제조업,25,제조업,prefix,6.8,6.6
514350,도료 도매업,25,도매 및 소매업,prefix,13.0,14.5
289902,금속 캔 및 기타 포장용기 제조업,25,제조업,prefix,6.8,6.6
289208,그 외 기타 금속 가공업,24,제조업,prefix,6.8,6.6
741401,경영 컨설팅업(경영지도사),24,전문과학기술서비스업,keyword(conflict),9.7,14.9
519992,그 외 기타 상품 전문 도매업,24,도매 및 소매업,prefix,13.0,14.5
252200,폴리스티렌 발포 성형제품 제조업,24,제조업,prefix,6.8,6.6
630101,항공 및 육상 화물 취급업,24,운수 및 창고업,prefix,8.8,9.5
512215,채소류  서류 및 향신작물류 도매업,24,도매 및 소매업,prefix,13.0,14.5
