grid_id,1st_bus_stop,1st_stop_id,1st_dist_m,2nd_bus_stop,2nd_stop_id,2nd_dist_m,3rd_bus_stop,3rd_stop_id,3rd_dist_m,1st_success,1st_time,1st_walk_dist,2nd_success,2nd_time,2nd_walk_dist,3rd_success,3rd_time,3rd_walk_dist,success_count,final_min_dist_m,final_min_time_min,selected_target
마마2271, 덕성리동일금속,570113.0,458.2, 금호역,570112.0,582.0, 금호터미널건너,570111.0,616.1,Y,12.7,981.0,Y,4.5,340.0,Y,4.45,340.0,3,340.0,4.5,2순위
마마2272, 대평리.장구마을(금호방면),571203.0,367.2, 대평리.장구마을(청통방면),571228.0,378.0, 사일못밑(상암방면),571227.0,416.8,Y,7.9,610.0,Y,7.9,611.0,Y,6.816666666666666,524.0,3,524.0,6.816666666666666,3순위
마마2273, 전륜사,571230.0,195.6, 전륜사건너,571201.0,208.9, 풍락저수지밑,571202.0,559.2,Y,2.2,176.0,Y,2.5,195.0,Y,6.933333333333334,541.0,3,176.0,2.2,1순위
마마2374, 대평모텔건너,571690.0,510.1, 대평모텔,571231.0,510.1, 신덕2리.대평(금호방면),571199.0,785.8,Y,3.5,276.0,Y,3.5,276.0,Y,8.2,640.0,3,276.0,3.5,1순위
마마2375, 신덕2리.대평(청통방면),571232.0,570.9, 신덕2리.대평(금호방면),571199.0,595.8, 신덕1리(청통방면),571238.0,597.4,Y,3.6,285.0,Y,4.2,324.0,Y,4.383333333333334,342.0,3,285.0,3.6,1순위
마마2476, 서산동종점,571564.0,387.4, 서산동(서산방면),571563.0,466.0, 서산동(영천방면),571565.0,466.0,Y,5.0,390.0,Y,7.2,554.0,Y,7.166666666666667,554.0,3,390.0,5.0,1순위
마마3866, 효리입구(영천방면),571407.0,291.2, 효리초입(효리방면),571401.0,475.8, 효리경로당건너,571402.0,627.1,Y,3.6,259.0,Y,3.6,259.0,Y,3.566666666666667,259.0,3,259.0,3.6,1순위
마마4670, 황수탕,570387.0,824.1, 덕정리(황수탕방면),570386.0,1829.7, 덕정리(호국원방면),570388.0,1893.8,Y,14.7,1128.0,Y,28.2,2175.0,Y,29.066666666666663,2242.0,3,1128.0,14.7,1순위
마마4570, 황수탕,570387.0,695.5, 덕정리(황수탕방면),570386.0,1662.2, 덕정리(호국원방면),570388.0,1714.5,Y,69.8,5379.0,Y,56.2,4331.0,Y,55.38333333333333,4265.0,3,4265.0,55.38333333333333,3순위
마마4571, 황수탕,570387.0,304.0, 덕정리(황수탕방면),570386.0,727.3, 덕정리(호국원방면),570388.0,790.5,Y,4.3,333.0,Y,9.2,714.0,Y,10.083333333333334,781.0,3,333.0,4.3,1순위
마마3267, 용수골,571755.0,737.2, 용수골,570628.0,737.2, 경북하이브리드부품연구원입구,571322.0,967.3,Y,5.6,429.0,Y,5.6,429.0,Y,16.783333333333335,1301.0,3,429.0,5.6,1순위
마마3068, 채신공단종점,571536.0,397.0, ㈜BM,571535.0,514.8, 대상㈜,571537.0,520.3,Y,4.1,324.0,Y,9.8,754.0,Y,4.783333333333333,376.0,3,324.0,4.1,1순위
마마3069, 한중본사제1공장건너,571534.0,169.0, 신우유통사거리,571533.0,323.6, ㈜BM,571535.0,513.5,Y,5.0,414.0,Y,6.7,480.0,Y,8.5,671.0,3,414.0,5.0,1순위
마마3167, 용수골,571755.0,386.8, 용수골,570628.0,386.8, 경북하이브리드부품연구원입구,571322.0,645.4,Y,3.8,297.0,Y,3.8,297.0,Y,8.083333333333334,630.0,3,297.0,3.8,1순위
마마3168, 채신공단,571538.0,173.1, 괴연동.우사(괴연방면),571642.0,274.8, 괴연동(괴연방면),571320.0,305.0,Y,8.0,618.0,Y,6.8,528.0,Y,4.266666666666667,329.0,3,329.0,4.266666666666667,3순위
마마3268, 괴연동.우사(괴연방면),571642.0,783.5, 괴연동(영천방면),571323.0,785.2, 괴연동(괴연방면),571320.0,790.9,Y,10.7,824.0,Y,7.3,565.0,Y,7.066666666666666,543.0,3,543.0,7.066666666666666,3순위
마마3169, 채신2공단입구,571318.0,84.5, 채신2공단입구건너,571326.0,169.2, 채신1공단입구,571317.0,217.2,Y,1.6,90.0,Y,3.3,235.0,Y,3.316666666666667,226.0,3,90.0,1.6,1순위
마마3170, 본촌동마을회관,571315.0,326.8, 본촌공단입구건너,571328.0,367.5, 본촌입구(괴연방면),571314.0,491.0,Y,20.7,1637.0,Y,20.7,1673.0,Y,15.35,1176.0,3,1176.0,15.35,3순위
마마3070, 본촌입구(괴연방면),571314.0,664.1, 본촌동마을회관건너,571329.0,670.2, 본촌공단입구,571316.0,678.0,Y,29.2,2377.0,Y,30.5,2492.0,Y,33.45,2743.0,3,2377.0,29.2,1순위
마마2971, 도남공단입구건너,710700.0,41.6, 도남공단입구,710699.0,41.6, 도남동(구암방면),571286.0,388.2,Y,0.1,6.0,Y,0.1,6.0,Y,4.966666666666667,388.0,3,6.0,0.1,1순위
마마3071, 봉동.가와인아파트건너,571332.0,207.4, 봉동.가와인아파트앞,571312.0,207.4, 봉동기사식당,571313.0,321.6,Y,3.6,218.0,Y,3.6,218.0,Y,3.816666666666667,320.0,3,218.0,3.6,1순위
마마3072, 우시장(진각사입구.영천희망원),571470.0,124.6, 영천가축시장,571336.0,185.4, 영천IC입구(작산방면),571334.0,196.0,Y,1.3,99.0,Y,2.5,196.0,Y,3.65,296.0,3,99.0,1.3,1순위
마마2872, 도동삼거리앞,570092.0,452.5, 성남여중고앞,570093.0,487.8, 도동삼거리,571474.0,563.9,Y,6.9,535.0,Y,7.5,578.0,Y,10.8,733.0,3,535.0,6.9,1순위
마마2972, 남부동주민센터,571472.0,173.3, 도남입구,571484.0,197.4, 남부동주민센터 건너,571285.0,219.4,Y,2.8,189.0,Y,3.1,218.0,Y,3.25,230.0,3,189.0,2.8,1순위
마마2873, 성남여중고건너,570091.0,440.6, 주남네거리(sk주유소건너),570094.0,676.1, 한전영천지사앞,570089.0,676.1,Y,22.4,1761.0,Y,17.8,1378.0,Y,17.816666666666666,1378.0,3,1378.0,17.8,2순위
마마3172, 남부초등학교,571467.0,99.7, 남부초등학교건너,571341.0,135.0, 범어동마을회관건너,571338.0,406.8,Y,1.3,99.0,Y,1.8,134.0,Y,12.383333333333333,951.0,3,99.0,1.3,1순위
마마3173, 범어동마을회관앞,571340.0,634.9, 범어동마을회관건너,571338.0,661.2, 작산동(도동방면),571468.0,910.3,Y,8.8,689.0,Y,9.3,724.0,Y,15.116666666666667,1170.0,3,689.0,8.8,1순위
마마2773, 영천경찰서,570104.0,641.9, 영천경찰서건너,570124.0,665.1, 효사랑요양병원,570123.0,738.7,Y,31.0,2386.0,Y,31.0,2386.0,Y,31.0,2386.0,3,2386.0,31.0,1순위
마마2774, 영대병원,570125.0,124.8, 오수동e마트,570103.0,202.4, 오수동.쌍계마을입구(영천방면),570126.0,233.6,Y,1.6,122.0,Y,3.8,232.0,Y,3.5,279.0,3,122.0,1.6,1순위
마마2973, 쇠느리건너,571482.0,483.9, 쇠느리,571481.0,519.6, 한전영천지사앞,570089.0,613.0,Y,10.5,811.0,Y,10.9,844.0,Y,10.65,767.0,3,767.0,10.65,3순위
마마3073, 쇠느리,571481.0,542.1, 쇠느리건너,571482.0,583.3, 봉정사 앞,571579.0,866.7,Y,13.4,1036.0,Y,13.4,1033.0,Y,26.916666666666668,2080.0,3,1033.0,13.4,2순위
마마3074, 봉정사 앞,571579.0,198.7, 봉정사 건너,571580.0,214.9, 완산2동경로당,571717.0,550.6,Y,3.1,239.0,Y,3.4,259.0,Y,7.6,583.0,3,239.0,3.1,1순위
마마2874, 영천터미널,710682.0,275.4, 영천버스터미널건너,570078.0,309.7, 영천버스터미널앞,570001.0,323.8,Y,11.7,930.0,Y,10.3,815.0,Y,11.65,928.0,3,815.0,10.3,2순위
마마2974, 영천상공회의소,570130.0,239.7, 영천상공회의소건너,570131.0,241.8, 영천전화국앞,570004.0,305.6,Y,4.3,336.0,Y,4.5,351.0,Y,5.35,424.0,3,336.0,4.3,1순위
마마3075, 미소지움2차,571715.0,94.1, 미소지움2차,571716.0,130.2, 미소지움1차,571713.0,309.8,Y,2.7,209.0,Y,2.1,157.0,Y,9.083333333333334,675.0,3,157.0,2.1,2순위
마마2875, 영천시민운동장주차장,570081.0,169.1, 평생학습관,570037.0,379.0, 성내동,570083.0,400.8,Y,3.2,255.0,Y,6.0,454.0,Y,7.316666666666666,530.0,3,255.0,3.2,1순위
마마2975, 시청오거리(경북신경외과건너),570086.0,265.8, 영동교(시청방향),570008.0,284.6, 영천보건소,570041.0,306.2,Y,14.4,1068.0,Y,6.9,493.0,Y,14.166666666666666,1051.0,3,493.0,6.9,2순위
마마2876, 한의마을,570592.0,300.4, 한의마을 건너,570537.0,398.9, 야구장삼거리,571705.0,408.6,Y,3.8,313.0,Y,5.7,431.0,Y,15.983333333333333,1264.0,3,313.0,3.8,1순위
마마2976, 무궁화아파트앞,570030.0,334.0, 영천시립도서관앞,570048.0,366.5, 시청뒷편,570053.0,371.3,Y,5.1,400.0,Y,10.3,794.0,Y,3.716666666666667,291.0,3,291.0,3.716666666666667,3순위
마마4471, 덕정리(호국원방면),570388.0,243.3, 덕정리(황수탕방면),570386.0,256.0, 덕정미나리농원(황수탕방면),570385.0,387.8,Y,0.2,13.0,Y,1.0,80.0,Y,3.25,252.0,3,13.0,0.2,1순위
마마4472, 덕정미나리농원(황수탕방면),570385.0,415.0, 덕정사주카페(호국원방면),570391.0,486.1, 덕정사주카페(황수탕방면),570383.0,555.5,Y,8.1,628.0,Y,4.7,365.0,Y,4.716666666666667,365.0,3,365.0,4.7,2순위
마마3274, 금강사,571720.0,684.7, 용천사입구,571719.0,761.0, 쓰레기매립장입구,571721.0,768.0,Y,5.7,438.0,Y,7.3,564.0,Y,8.816666666666666,681.0,3,438.0,5.7,1순위
마마3174, 완산2동경로당,571717.0,503.9, 용천사입구,571719.0,567.4, 완산1동경로당,571718.0,686.1,Y,4.7,362.0,Y,7.0,539.0,Y,11.783333333333331,909.0,3,362.0,4.7,1순위
마마3275, 파크골프장입구,571722.0,373.8, 쓰레기매립장입구,571721.0,456.6, 금강사,571720.0,697.4,Y,13.3,1008.0,Y,4.2,306.0,Y,7.316666666666666,548.0,3,306.0,4.2,2순위
마마3175, 장천삼거리,571725.0,117.6, 장천회관,571724.0,225.4, 행복마을노인복지센터,571723.0,363.9,Y,3.9,297.0,Y,7.2,555.0,Y,9.066666666666666,695.0,3,297.0,3.9,1순위
마마3076, 영동고등학교건너,570057.0,94.5, 망정네거리,570058.0,106.6, 동부사거리,570026.0,113.3,Y,1.9,157.0,Y,1.2,106.0,Y,2.9833333333333334,211.0,3,106.0,1.2,2순위
마마3176, 영천소방서건너,570016.0,130.7, 동부초등학교건너,570017.0,137.2, 소방서입구,570070.0,191.6,Y,1.3,109.0,Y,1.4,115.0,Y,2.7,184.0,3,109.0,1.3,1순위
마마3276, 해피포유A입구,570179.0,450.3, 조교삼거리(고경방면),570132.0,548.5, 조교삼거리(3번노선전용),570180.0,594.8,Y,11.7,811.0,Y,5.5,425.0,Y,7.516666666666667,472.0,3,425.0,5.5,2순위
마마3277, 언하1동,571532.0,170.5, 언하동.새미(임고방면),570307.0,596.9, 언하동(조교방면),570068.0,606.4,Y,4.9,379.0,Y,11.5,884.0,Y,12.116666666666667,904.0,3,379.0,4.9,1순위
마마3177, 갑을공단(화신건너),570067.0,102.8, 창신아파트앞,570021.0,346.3, 창신아파트건너(우로지앞),570066.0,372.6,Y,1.1,83.0,Y,6.6,497.0,Y,6.783333333333333,512.0,3,83.0,1.1,1순위
마마3077, 전경부대앞,570022.0,372.5, 전경부대건너,570065.0,372.5, 한신더휴영천퍼스트.세왕금속,570023.0,482.1,Y,4.9,379.0,Y,4.9,379.0,Y,9.333333333333334,745.0,3,379.0,4.9,1순위
마마2674, 쌍계동,571480.0,659.9, 영천교통,571477.0,735.5, 오수동e마트,570103.0,830.9,Y,10.8,830.0,Y,20.9,1519.0,Y,18.5,1320.0,3,830.0,10.8,1순위
마마2675, 쌍계동,571480.0,891.2, 서문주유소건너,571260.0,1096.4, 화룡삼거리(영천방면),571259.0,1124.3,Y,7.5,583.0,Y,29.1,2280.0,Y,36.73333333333333,2876.0,3,583.0,7.5,1순위
마마2775, 서문주유소건너,571260.0,179.7, 서문주유소,570975.0,192.1, 북영천역,571261.0,364.1,Y,11.7,903.0,Y,11.9,923.0,Y,7.1,551.0,3,551.0,7.1,3순위
마마2576, 도향사건너,571566.0,441.1, 도향사앞,571562.0,475.6, 서산교(영천방면),571568.0,572.6,Y,10.3,792.0,Y,10.4,803.0,Y,13.633333333333333,1054.0,3,792.0,10.3,1순위
마마2776, 영남실버건너,571707.0,67.9, 영남실버입구,571708.0,171.1, 화룡삼거리(화산방면),570976.0,302.2,Y,4.7,345.0,Y,3.1,214.0,Y,5.2,429.0,3,214.0,3.1,2순위
마마2676, 대전입구건너,571250.0,541.4, 대전입구,570977.0,550.9, 서산(영천방면),571249.0,611.5,Y,9.4,726.0,Y,9.5,734.0,Y,10.45,808.0,3,726.0,9.4,1순위
마마2577, 도향사앞,571562.0,592.6, 태양고물상건너,571248.0,626.7, 호당1리입구건너,570980.0,645.7,Y,19.2,1485.0,Y,3.0,234.0,Y,5.416666666666667,419.0,3,234.0,3.0,2순위
마마2677, 태양고물상,570979.0,255.8, 서산(화산방면),570978.0,357.8, 태양고물상건너,571248.0,381.3,Y,8.3,639.0,Y,12.3,953.0,Y,5.183333333333334,399.0,3,399.0,5.183333333333334,3순위
마마2777, 대전1동마을회관건너,571253.0,136.5, 대전1동마을회관앞,571256.0,158.8, 동림사입구,571257.0,215.0,Y,1.7,135.0,Y,2.0,155.0,Y,3.35,260.0,3,135.0,1.7,1순위
마마2977, 야사신주공아파트앞,570028.0,1113.3, 무궁화아파트앞,570030.0,1223.5, 오미2동(영천방면),570590.0,1227.7,Y,22.9,1728.0,Y,23.1,1774.0,Y,26.5,2126.0,3,1728.0,22.9,1순위
마마2877, 오미(영천방면),570591.0,333.9, 오미2동(화남방면),570539.0,423.7, 오미2동(영천방면),570590.0,423.7,Y,4.5,351.0,Y,5.3,417.0,Y,5.35,417.0,3,351.0,4.5,1순위
마마2978, 녹전.영천영어타운건너,570541.0,1129.1, 녹전.영천영어타운입구,570588.0,1151.1, 녹전입구건너,570542.0,1200.8,Y,19.1,1344.0,Y,20.1,1391.0,Y,23.85,1723.0,3,1344.0,19.1,1순위
마마2878, 녹전.영천영어타운입구,570588.0,244.9, 녹전.영천영어타운건너,570541.0,260.9, 상대전입구(화남방면),570540.0,408.7,Y,7.4,447.0,Y,6.3,399.0,Y,5.95,474.0,3,399.0,6.3,2순위
마마2979, 도림동,570970.0,731.4, 도림(화남방면),570543.0,964.5, 도림(영천방면),570586.0,986.1,Y,53.5,4059.0,Y,45.8,3462.0,Y,46.25,3386.0,3,3386.0,46.25,3순위
마마2879, 도림(영천방면),570586.0,117.4, 도림(화남방면),570543.0,279.4, 녹전입구건너,570542.0,388.5,Y,1.5,117.0,Y,7.1,443.0,Y,8.033333333333333,512.0,3,117.0,1.5,1순위
마마2980, 도림1동회관,570971.0,234.3, 도림동,570970.0,607.5, 도림1동(숯골),570972.0,607.8,Y,2.7,212.0,Y,8.5,655.0,Y,4489.7,350770.0,3,212.0,2.7,1순위
마마2880, 하명마을입구건너,570544.0,206.1, 하명마을입구,570585.0,264.6, 도림동(화남방면),570545.0,412.8,Y,6.1,398.0,Y,2.8,218.0,Y,10.066666666666666,747.0,3,218.0,2.8,2순위
마마2981, 도림1동(숯골),570972.0,394.9, 도림교회,571662.0,557.9, 매산1동(화남방면),570547.0,647.5,Y,4.7,364.0,Y,12.5,966.0,Y,15.016666666666667,1160.0,3,364.0,4.7,1순위
마마2881, 매산1동,570949.0,338.3, 매산1동(화남방면),570547.0,408.8, 도림2동(화남방면),570546.0,471.1,Y,7.3,569.0,Y,6.9,418.0,Y,9.116666666666667,686.0,3,418.0,6.9,2순위
마마3178, 창신영업소,571527.0,357.8, 신기동 마을회관,571578.0,378.3, 임시58(언하방면),571528.0,440.7,Y,7.9,615.0,Y,5.2,403.0,Y,11.683333333333334,902.0,3,403.0,5.2,2순위
마마3078, 임시58(언하방면),571528.0,876.0, 임시57(영천방면),571526.0,955.9, 신기동 마을회관,571578.0,956.0,Y,17.0,1294.0,Y,18.1,1373.0,Y,28.966666666666665,2223.0,3,1294.0,17.0,1순위
마마3079, 신기동 마을회관,571578.0,1092.2, 도림1동회관,570971.0,1504.4, 도림동,570970.0,1555.1,Y,13.0,1006.0,Y,123.0,9561.0,Y,111.78333333333332,8694.0,3,1006.0,13.0,1순위
마마3080, 도림1동회관,570971.0,918.9, 도림1동(숯골),570972.0,1139.6, 도림동,570970.0,1500.8,Y,135.1,10506.0,Y,140.4,10916.0,Y,123.86666666666666,9638.0,3,9638.0,123.86666666666666,3순위
마마2778, 상대전(화남방면),571254.0,583.0, 상대전(영천방면),571255.0,602.5, 가축위생시험소건너,570945.0,686.8,Y,7.7,597.0,Y,8.7,672.0,Y,7.933333333333334,617.0,3,597.0,7.7,1순위
마마2779, 녹전2동,570943.0,155.8, 녹전길,570946.0,159.9, 경북차량용임베디드기술연구원건너,570942.0,294.1,Y,2.5,191.0,Y,2.7,206.0,Y,4.183333333333334,323.0,3,191.0,2.5,1순위
마마2780, 녹동3동(영천방면),570952.0,417.5, 하명마을(화산방면),570948.0,525.0, 하명마을(영천방면),570951.0,525.0,Y,5.2,406.0,Y,12.8,992.0,Y,12.85,992.0,3,406.0,5.2,1순위
마마2781, 매산2동,570950.0,527.1, 매산1동,570949.0,833.2, 하명마을(영천방면),570951.0,1167.2,Y,5.4,418.0,Y,17.3,1341.0,Y,16.2,1255.0,3,418.0,5.4,1순위
마마2782, 매산1동(영천방면),570582.0,675.8, 화남분교,570564.0,810.8, 사천교회,570579.0,815.2,Y,17.2,1328.0,Y,25.1,1940.0,Y,25.133333333333333,1940.0,3,1328.0,17.2,1순위
